units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,transaction_date_update
134,0.14,305.54,11,65,0.17,Electronics,Europe,0.018,0.55,9.9,Oct-2024
109,0.3,1102.19,15,201,0.07,Home Appliances,Asia,0.1589,0.4,63.56,Oct-2024
116,0.04,471.29,16,199,0.08,Toys,Asia,0.0596,1.5,89.4,Apr-2024
125,0.2,980.26,12,355,0.03,Clothing,Europe,0.0444,0.44,19.54,Aug-2024
132,0.07,803.76,44,355,0.12,Books,North America,0.127,0.53,67.31,May-2024
160,0.25,69.37,4,73,0.05,Electronics,North America,0.0153,1.13,17.29,Sep-2024
145,0.17,121.56,25,110,0.23,Clothing,North America,0.0889,1.97,175.13,Dec-2023
121,0.28,208.64,1,208,0.0,Electronics,Asia,0.0133,1.22,16.23,Apr-2024
152,0.2,757.34,27,73,0.37,Toys,North America,0.1562,1.55,242.11,Apr-2024
152,0.17,163.74,10,299,0.03,Toys,North America,0.0728,0.75,54.6,Nov-2024
114,0.13,600.25,34,390,0.09,Clothing,Asia,0.0141,1.83,25.8,Dec-2023
102,0.24,226.05,42,202,0.21,Books,Asia,0.1941,0.1,19.41,Oct-2024
117,0.12,195.44,20,189,0.11,Home Appliances,Europe,0.1056,0.57,60.19,Jul-2024
131,0.09,135.11,8,102,0.08,Toys,Europe,0.1521,0.87,132.33,Nov-2024
132,0.19,374.76,40,426,0.09,Books,North America,0.0849,1.52,129.05,Mar-2024
102,0.0,314.68,33,418,0.08,Books,Asia,0.0152,1.11,16.87,May-2024
163,0.04,209.7,1,94,0.01,Electronics,North America,0.0865,0.2,17.3,May-2024
108,0.1,399.76,43,308,0.14,Home Appliances,Asia,0.0945,1.93,182.38,Apr-2024
145,0.18,243.97,24,285,0.08,Clothing,North America,0.0316,1.03,32.55,Aug-2024
429,0.12,1079.23,11,488,0.02,Home Appliances,North America,0.0127,0.33,4.19,Nov-2024
136,0.17,357.81,29,43,0.67,Books,North America,0.0422,0.84,35.45,Sep-2024
116,0.03,1132.88,46,66,0.7,Books,Europe,0.1345,0.38,51.11,Apr-2024
104,0.1,76.14,10,22,0.45,Books,Asia,0.1505,0.21,31.6,Feb-2024
132,0.0,656.22,8,307,0.03,Toys,Europe,0.1027,1.13,116.05,Jan-2024
163,0.26,487.02,41,484,0.08,Electronics,North America,0.1752,1.9,332.88,Mar-2024
135,0.01,141.89,38,375,0.1,Electronics,Europe,0.087,0.98,85.26,Aug-2024
122,0.2,1560.38,45,133,0.34,Home Appliances,Europe,0.1344,0.58,77.95,Mar-2024
131,0.27,215.73,15,26,0.58,Toys,Europe,0.0208,1.81,37.65,Oct-2024
141,0.06,827.16,6,493,0.01,Home Appliances,North America,0.0246,1.1,27.06,Feb-2024
143,0.02,300.47,13,479,0.03,Home Appliances,North America,0.1805,1.62,292.41,Oct-2024
114,0.01,103.71,14,343,0.04,Books,Europe,0.1618,1.98,320.36,Jan-2024
116,0.16,977.13,8,268,0.03,Clothing,Asia,0.0522,0.71,37.06,Dec-2023
150,0.3,41.29,6,298,0.02,Clothing,North America,0.0881,1.12,98.67,Jul-2024
128,0.15,1347.35,39,263,0.15,Electronics,Asia,0.1024,0.8,81.92,Apr-2024
120,0.22,237.74,27,409,0.07,Home Appliances,Europe,0.0108,0.62,6.7,Jun-2024
158,0.04,736.59,13,121,0.11,Toys,North America,0.1099,1.51,165.95,Sep-2024
131,0.3,338.23,43,201,0.21,Toys,Europe,0.0139,0.41,5.7,May-2024
137,0.08,450.85,14,262,0.05,Electronics,Europe,0.1221,1.8,219.78,Jan-2024
139,0.15,1575.56,14,15,0.93,Books,North America,0.1216,1.54,187.26,Jun-2024
114,0.06,282.99,17,221,0.08,Clothing,Asia,0.0822,0.13,10.69,Feb-2024
151,0.24,347.46,49,247,0.2,Clothing,North America,0.1795,1.1,197.45,Sep-2024
138,0.16,221.89,4,449,0.01,Electronics,Europe,0.0601,1.94,116.59,Mar-2024
147,0.25,47.28,9,99,0.09,Home Appliances,North America,0.1692,1.17,197.96,Mar-2024
166,0.14,1057.59,6,223,0.03,Electronics,North America,0.0839,1.02,85.58,Sep-2024
158,0.17,167.78,4,197,0.02,Toys,North America,0.1831,1.37,250.85,Mar-2024
159,0.05,266.87,45,198,0.23,Toys,North America,0.1743,0.92,160.36,May-2024
142,0.3,576.41,3,119,0.03,Electronics,Europe,0.0603,0.49,29.55,Sep-2024
128,0.24,316.9,23,303,0.08,Electronics,Asia,0.055,1.96,107.8,Apr-2024
156,0.26,258.81,15,220,0.07,Toys,North America,0.1849,1.02,188.6,Apr-2024
111,0.2,487.68,49,14,3.5,Home Appliances,Asia,0.0557,0.42,23.39,Aug-2024
114,0.22,1011.75,13,178,0.07,Home Appliances,Asia,0.0605,0.73,44.16,Dec-2023
140,0.22,499.5,25,151,0.17,Books,North America,0.0635,1.12,71.12,Mar-2024
144,0.2,199.79,26,308,0.08,Home Appliances,North America,0.1783,1.63,290.63,Dec-2023
116,0.27,158.11,38,453,0.08,Books,Europe,0.1007,1.79,180.25,Feb-2024
136,0.22,523.22,7,178,0.04,Toys,Europe,0.1404,1.81,254.12,Jan-2024
119,0.2,1299.2,47,298,0.16,Books,Europe,0.1396,1.13,157.75,Dec-2023
119,0.07,841.8,41,45,0.91,Books,Europe,0.1377,1.75,240.98,Sep-2024
121,0.09,211.79,1,326,0.0,Toys,Asia,0.1646,0.29,47.73,Apr-2024
128,0.3,492.65,49,170,0.29,Electronics,Asia,0.0473,0.88,41.62,Jul-2024
123,0.29,533.96,49,183,0.27,Home Appliances,Europe,0.0722,1.53,110.47,Oct-2024
141,0.05,349.18,43,274,0.16,Electronics,Europe,0.1109,0.66,73.19,Nov-2024
136,0.02,95.06,34,311,0.11,Toys,Europe,0.157,1.63,255.91,Apr-2024
